date,TQQQ_syn,QLD_syn,TQQQ_syn_cal,QLD_syn_cal
1993-01-29,,,,
1993-02-01,,,,
1993-02-02,,,,
1993-02-03,,,,
1993-02-04,,,,
1993-02-05,,,,
1993-02-08,,,,
1993-02-09,,,,
1993-02-10,,,,
1993-02-11,,,,
1993-02-12,,,,
1993-02-16,,,,
1993-02-17,,,,
1993-02-18,,,,
1993-02-19,,,,
1993-02-22,,,,
1993-02-23,,,,
1993-02-24,,,,
1993-02-25,,,,
1993-02-26,,,,
1993-03-01,,,,
1993-03-02,,,,
1993-03-03,,,,
1993-03-04,,,,
1993-03-05,,,,
1993-03-08,,,,
1993-03-09,,,,
1993-03-10,,,,
1993-03-11,,,,
1993-03-12,,,,
1993-03-15,,,,
1993-03-16,,,,
1993-03-17,,,,
1993-03-18,,,,
1993-03-19,,,,
1993-03-22,,,,
1993-03-23,,,,
1993-03-24,,,,
1993-03-25,,,,
1993-03-26,,,,
1993-03-29,,,,
1993-03-30,,,,
1993-03-31,,,,
1993-04-01,,,,
1993-04-02,,,,
1993-04-05,,,,
1993-04-06,,,,
1993-04-07,,,,
1993-04-08,,,,
1993-04-12,,,,
1993-04-13,,,,
1993-04-14,,,,
1993-04-15,,,,
1993-04-16,,,,
1993-04-19,,,,
1993-04-20,,,,
1993-04-21,,,,
1993-04-22,,,,
1993-04-23,,,,
1993-04-26,,,,
1993-04-27,,,,
1993-04-28,,,,
1993-04-29,,,,
1993-04-30,,,,
1993-05-03,,,,
1993-05-04,,,,
1993-05-05,,,,
1993-05-06,,,,
1993-05-07,,,,
1993-05-10,,,,
1993-05-11,,,,
1993-05-12,,,,
1993-05-13,,,,
1993-05-14,,,,
1993-05-17,,,,
1993-05-18,,,,
1993-05-19,,,,
1993-05-20,,,,
1993-05-21,,,,
1993-05-24,,,,
1993-05-25,,,,
1993-05-26,,,,
1993-05-27,,,,
1993-05-28,,,,
1993-06-01,,,,
1993-06-02,,,,
1993-06-03,,,,
1993-06-04,,,,
1993-06-07,,,,
1993-06-08,,,,
1993-06-09,,,,
1993-06-10,,,,
1993-06-11,,,,
1993-06-14,,,,
1993-06-15,,,,
1993-06-16,,,,
1993-06-17,,,,
1993-06-18,,,,
1993-06-21,,,,
1993-06-22,,,,
1993-06-23,,,,
1993-06-24,,,,
1993-06-25,,,,
1993-06-28,,,,
1993-06-29,,,,
1993-06-30,,,,
1993-07-01,,,,
1993-07-02,,,,
1993-07-06,,,,
1993-07-07,,,,
1993-07-08,,,,
1993-07-09,,,,
1993-07-12,,,,
1993-07-13,,,,
1993-07-14,,,,
1993-07-15,,,,
1993-07-16,,,,
1993-07-19,,,,
1993-07-20,,,,
1993-07-21,,,,
1993-07-22,,,,
1993-07-23,,,,
1993-07-26,,,,
1993-07-27,,,,
1993-07-28,,,,
1993-07-29,,,,
1993-07-30,,,,
1993-08-02,,,,
1993-08-03,,,,
1993-08-04,,,,
1993-08-05,,,,
1993-08-06,,,,
1993-08-09,,,,
1993-08-10,,,,
1993-08-11,,,,
1993-08-12,,,,
1993-08-13,,,,
1993-08-16,,,,
1993-08-17,,,,
1993-08-18,,,,
1993-08-19,,,,
1993-08-20,,,,
1993-08-23,,,,
1993-08-24,,,,
1993-08-25,,,,
1993-08-26,,,,
1993-08-27,,,,
1993-08-30,,,,
1993-08-31,,,,
1993-09-01,,,,
1993-09-02,,,,
1993-09-03,,,,
1993-09-07,,,,
1993-09-08,,,,
1993-09-09,,,,
1993-09-10,,,,
1993-09-13,,,,
1993-09-14,,,,
1993-09-15,,,,
1993-09-16,,,,
1993-09-17,,,,
1993-09-20,,,,
1993-09-21,,,,
1993-09-22,,,,
1993-09-23,,,,
1993-09-24,,,,
1993-09-27,,,,
1993-09-28,,,,
1993-09-29,,,,
1993-09-30,,,,
1993-10-01,,,,
1993-10-04,,,,
1993-10-05,,,,
1993-10-06,,,,
1993-10-07,,,,
1993-10-08,,,,
1993-10-11,,,,
1993-10-12,,,,
1993-10-13,,,,
1993-10-14,,,,
1993-10-15,,,,
1993-10-18,,,,
1993-10-19,,,,
1993-10-20,,,,
1993-10-21,,,,
1993-10-22,,,,
