asset,version,year,n,real,syn,gap_pp
TQQQ,기본,2010,224,0.7806134671211824,0.8007200360356685,2.0106568914486145
TQQQ,기본,2011,252,-0.08046909053665607,-0.0691866667280745,1.1282423808581576
TQQQ,기본,2012,250,0.5228698670161067,0.5305884189800714,0.7718551963964648
TQQQ,기본,2013,252,1.3973338458853437,1.4280519571266055,3.071811124126178
TQQQ,기본,2014,252,0.5709081074463793,0.5928079207629702,2.1899813316590855
TQQQ,기본,2015,252,0.17230811297746285,0.1865367934182447,1.422868044078185
TQQQ,기본,2016,252,0.11380537165804716,0.12472634764565926,1.0920975987612103
TQQQ,기본,2017,251,1.1806178363667552,1.212390400656691,3.17725642899358
TQQQ,기본,2018,251,-0.197879640092807,-0.1846329836834053,1.3246656409401703
TQQQ,기본,2019,252,1.3383373726517078,1.3693952844724921,3.1057911820784323
TQQQ,기본,2020,253,1.1005194644694747,1.1604590648647815,5.993960039530677
TQQQ,기본,2021,252,0.829813214910754,0.8651865314612746,3.537331655052056
TQQQ,기본,2022,251,-0.7909001974090929,-0.7854563902846223,0.5443807124470568
TQQQ,기본,2023,250,1.9804874500354166,2.0367457306413224,5.625828060590576
TQQQ,기본,2024,252,0.5826770400751906,0.6155182206675742,3.284118059238361
TQQQ,기본,2025,250,0.34354454745332763,0.3779976487865748,3.4453101333247194
TQQQ,기본,2026,177,0.2936072745896112,0.3150467270330397,2.1439452443428486
TQQQ,보정,2010,224,0.7806134671211824,0.7745214626181569,-0.6092004503025494
TQQQ,보정,2011,252,-0.08046909053665607,-0.08450849057870036,-0.4039400042044283
TQQQ,보정,2012,250,0.5228698670161067,0.5052868031713706,-1.7583063844736069
TQQQ,보정,2013,252,1.3973338458853437,1.3881609463013724,-0.9172899583971272
TQQQ,보정,2014,252,0.5709081074463793,0.566599715332486,-0.43083921138933334
TQQQ,보정,2015,252,0.17230811297746285,0.16699258375704118,-0.5315529220421666
TQQQ,보정,2016,252,0.11380537165804716,0.1062101712900374,-0.7595200368009758
TQQQ,보정,2017,251,1.1806178363667552,1.1761539520875233,-0.44638842792319444
TQQQ,보정,2018,251,-0.197879640092807,-0.19817471479199023,-0.02950746991832176
TQQQ,보정,2019,252,1.3383373726517078,1.3303937085628288,-0.7943664088879032
TQQQ,보정,2020,253,1.1005194644694747,1.124784649701442,2.42651852319673
TQQQ,보정,2021,252,0.829813214910754,0.8345104486906136,0.4697233779859644
TQQQ,보정,2022,251,-0.7909001974090929,-0.7890123186762845,0.1887878732808379
TQQQ,보정,2023,250,1.9804874500354166,1.9870660481134577,0.6578598078041065
TQQQ,보정,2024,252,0.5826770400751906,0.5886987658518212,0.6021725776630626
TQQQ,보정,2025,250,0.34354454745332763,0.35533259833865394,1.1788050885326307
TQQQ,보정,2026,177,0.2936072745896112,0.2996755933296438,0.6068318740032552
QLD,기본,2006,133,0.19415252711199593,0.19862957464948416,0.44770475374882324
QLD,기본,2007,251,0.29032691595242643,0.30339831452115096,1.3071398568724524
QLD,기본,2008,253,-0.7288735950927454,-0.7164461933660754,1.2427401726670007
QLD,기본,2009,252,1.2119758604684314,1.2259510404965535,1.3975180028122036
QLD,기본,2010,252,0.36903203761342684,0.3810792188116603,1.2047181198233448
QLD,기본,2011,252,0.00036868248891308575,0.005747379341806358,0.5378696852893272
QLD,기본,2012,250,0.34770518149698604,0.35434049205579843,0.6635310558812391
QLD,기본,2013,252,0.8211465262423947,0.8274880894376868,0.634156319529211
QLD,기본,2014,252,0.3759108175562438,0.3852437802589084,0.9332962702664593
QLD,기본,2015,252,0.14740643463114322,0.1530179033232517,0.561146869210849
QLD,기본,2016,252,0.10037344110527702,0.10751604118856783,0.7142600083290818
QLD,기본,2017,251,0.7033870497679033,0.7152286880263266,1.1841638258423215
QLD,기본,2018,251,-0.08310439879502718,-0.07720707743865052,0.5897321356376661
QLD,기본,2019,252,0.8169009900169242,0.8311277025806838,1.4226712563759625
QLD,기본,2020,253,0.8889539985598147,0.9123891163554045,2.343511779558982
QLD,기본,2021,252,0.5466945135681185,0.5609669759592184,1.4272462391099916
QLD,기본,2022,251,-0.6052240749870841,-0.6007645185695878,0.4459556417496291
QLD,기본,2023,250,1.1772159772398028,1.193616127373733,1.6400150133930147
QLD,기본,2024,252,0.42814647727620114,0.44174489614009516,1.3598418863894013
QLD,기본,2025,250,0.30357766927701824,0.31896269052595727,1.5385021248939035
QLD,기본,2026,173,0.2512025395048867,0.25984759661209256,0.8645057107205867
QLD,보정,2006,133,0.19415252711199593,0.19378478125852472,-0.0367745853471213
QLD,보정,2007,251,0.29032691595242643,0.2932779299378723,0.29510139854458384
QLD,보정,2008,253,-0.7288735950927454,-0.7186596198852399,1.0213975207505555
QLD,보정,2009,252,1.2119758604684314,1.2087730838270363,-0.3202776641395122
QLD,보정,2010,252,0.36903203761342684,0.37043385711766996,0.1401819504243118
QLD,보정,2011,252,0.00036868248891308575,-0.0020069683183422393,-0.2375650807255325
QLD,보정,2012,250,0.34770518149698604,0.3438370648189848,-0.3868116678001243
QLD,보정,2013,252,0.8211465262423947,0.8133980770127591,-0.7748449229635579
QLD,보정,2014,252,0.3759108175562438,0.37455300243980405,-0.13578151164397312
QLD,보정,2015,252,0.14740643463114322,0.14411403693768832,-0.3292397693454907
QLD,보정,2016,252,0.10037344110527702,0.0989661385383862,-0.14073025668908112
QLD,보정,2017,251,0.7033870497679033,0.7020431874753437,-0.13438622925596722
