구간,합성,원천징수,key,CAGR_중앙,CAGR_하위10,CAGR_음수비율,MDD_중앙,MDD_하위10,붕괴기준,붕괴경로비율,붕괴경로_CAGR_중앙,비붕괴경로_CAGR_중앙,합성3배_붕괴비율,합성2배_붕괴비율
A,기본,미적용,P3,7.86564851940682,1.2880034251290808,5.3,-51.48956452243719,-69.64560725399097,합성3배,43.5,4.1774986600265684,10.329916947924978,43.5,11.700000000000001
A,기본,미적용,C100,6.644617639166917,2.6430966885641993,2.4,-39.148363358500376,-53.44126511736655,합성3배,43.5,4.582601646172213,8.1807693121551,43.5,11.700000000000001
A,기본,적용,P3,7.595836549835133,1.0123808138623416,6.2,-51.62163716901104,-69.96821951841173,합성3배,43.5,3.9932702095329287,10.06838354020012,43.5,11.700000000000001
A,기본,적용,A80,7.285838293900893,1.5960575077462913,4.7,-46.79861855463845,-64.54809034264242,합성3배,43.5,4.153332368349849,9.507629758724413,43.5,11.700000000000001
A,기본,적용,A-Q1,6.5744124492585705,1.1204672890706124,6.1,-46.31495197429187,-64.62559676375186,합성2배,11.700000000000001,0.5567244490327639,7.110350576835023,43.5,11.700000000000001
A,기본,적용,A-Q2,7.011794098741831,0.10659599996416326,9.700000000000001,-56.21718483161069,-74.71805771677346,합성2배,11.700000000000001,-0.7304335773400839,7.726480384930801,43.5,11.700000000000001
A,기본,적용,C,6.807059567297391,-1.125188958947799,14.2,-62.770012661886284,-80.97371458116383,합성3배,43.5,2.264163579079015,10.088807042316095,43.5,11.700000000000001
A,기본,적용,B-opt,5.8626428930042,-0.225518677090225,10.8,-53.343478913178146,-71.90267986793566,합성3배,43.5,2.3991719143281243,8.108404441723938,43.5,11.700000000000001
A,기본,적용,B1,5.734245511573399,-0.901460425515552,13.4,-57.63812947774449,-76.46047517400109,합성3배,43.5,1.9023635211966594,8.343689299227485,43.5,11.700000000000001
A,기본,적용,B2,5.721073350143779,-1.385450329368496,14.799999999999999,-60.14715619335715,-78.72407713029733,합성3배,43.5,1.536504242869885,8.402538127743764,43.5,11.700000000000001
A,기본,적용,B3,5.733898422263161,-0.5717568275881357,11.899999999999999,-55.393495893980756,-74.16205610262885,합성3배,43.5,2.207498097872884,8.16568325044611,43.5,11.700000000000001
A,기본,적용,SPY,5.872003482547939,0.8492395188608538,7.9,-50.37215930677128,-68.15838448849387,합성3배,43.5,3.1144306097555363,7.653514238772674,43.5,11.700000000000001
A,기본,적용,QQQ,5.212026616846998,-3.5491673462389524,21.7,-69.97143721129942,-88.04154760911251,합성3배,43.5,0.0038559308492391864,8.598147533989886,43.5,11.700000000000001
