선택구간,검증구간,key,SCHD,SPY,QQQ,선택구간_세후Sharpe,선택구간_순위,검증구간_세후Sharpe,검증구간_순위,검증구간_CAGR_세후,검증구간_MDD,검증구간_Sharpe_중앙값_66개,Spearman_세후Sharpe_순위상관_66개,Spearman_세후CAGR_순위상관_66개
2000–2012,2013–2026,S000_P100_Q000,0.0,1.0,0.0,0.07188856811592641,1,0.6693117012409829,60,0.12725334732217553,-0.33737498940996036,0.7415229004224986,-0.955161256653794,-0.943847197578541
2000–2012,2013–2026,S010_P090_Q000,0.1,0.9,0.0,0.07064400634253507,2,0.6744423639342194,58,0.12642995192370265,-0.33642819602752894,0.7415229004224986,-0.955161256653794,-0.943847197578541
2000–2012,2013–2026,S020_P080_Q000,0.2,0.8,0.0,0.06939799256684538,3,0.677606069292115,56,0.1254291722648826,-0.3354760304515171,0.7415229004224986,-0.955161256653794,-0.943847197578541
2000–2012,2013–2026,S030_P070_Q000,0.3,0.7,0.0,0.06815066878694168,4,0.6786012088451476,55,0.1242509914213239,-0.334523538436997,0.7415229004224986,-0.955161256653794,-0.943847197578541
2000–2012,2013–2026,S040_P060_Q000,0.4,0.6,0.0,0.0669021808756738,5,0.6772463550706781,57,0.12289447469002868,-0.3341485894144227,0.7415229004224986,-0.955161256653794,-0.943847197578541
2013–2026,2000–2012,S030_P000_Q070,0.3,0.0,0.7,0.796275073320805,1,0.01879575672569268,60,-0.010919902617407717,-0.7528608647372428,0.04331678841145738,-0.955161256653794,-0.943847197578541
2013–2026,2000–2012,S020_P000_Q080,0.2,0.0,0.8,0.794766157837675,2,0.015807095824287177,63,-0.015212570387330704,-0.7806587739532918,0.04331678841145738,-0.955161256653794,-0.943847197578541
2013–2026,2000–2012,S040_P000_Q060,0.4,0.0,0.6,0.792662714670536,3,0.02250319328839303,56,-0.0069294795803476195,-0.7225587868598925,0.04331678841145738,-0.955161256653794,-0.943847197578541
2013–2026,2000–2012,S010_P000_Q090,0.1,0.0,0.9,0.7893438691942216,4,0.01351227529516537,65,-0.01982510720043662,-0.8062165839405353,0.04331678841145738,-0.955161256653794,-0.943847197578541
2013–2026,2000–2012,S020_P010_Q070,0.2,0.1,0.7,0.7881337157343172,5,0.019812665767792618,59,-0.010685189427361075,-0.7528608647372428,0.04331678841145738,-0.955161256653794,-0.943847197578541
