key,보유년,G,중앙값,하위10,하위25,상위10,P_25억이상,P_15억이상,합성3배_붕괴경로비율,붕괴경로_중앙값,비붕괴경로_중앙값,누적납입
P3,14,G0,2129477083.3967013,1290905120.5076916,1622001562.7314405,3758355865.518328,35.099999999999994,81.5,21.8,1555835366.9561684,2309382366.282533,910500000.0
P3,19,G0,3885510099.8355575,2009524022.9697688,2746420796.714263,7602773652.5257015,81.0,96.3,26.5,2557669124.0535684,4426998763.906912,1180500000.0
A80,14,G0,2014518554.6370602,1303694462.3946729,1607504838.599825,3229755570.3210025,26.700000000000003,81.10000000000001,21.8,1564946810.9281828,2151633261.928903,910500000.0
A80,19,G0,3610874778.3480954,2067194693.6047153,2679002915.25733,6273280406.122353,79.9,97.3,26.5,2575770607.8547764,4000600161.592407,1180500000.0
C100,14,G0,1775961572.923011,1304470294.3567839,1514086689.2582028,2461277721.372183,9.2,76.7,21.8,1571915923.2523618,1829877322.9665236,910500000.0
C100,19,G0,2998951367.496272,2064819131.9071152,2454774982.1046405,4379510373.052552,73.1,98.6,26.5,2532625934.3531923,3140702349.1709285,1180500000.0
B-opt,14,G0,1841645196.3861475,1190840042.8396368,1461890586.6039102,2938822212.168002,20.1,72.1,21.8,1408601352.2924585,1961446396.5863194,910500000.0
B-opt,19,G0,3174515954.6976595,1808080592.1334796,2342355442.821215,5523359904.413706,70.8,95.19999999999999,26.5,2234997735.8783846,3564946869.047336,1180500000.0
B1,14,G0,1867141046.7027087,1142799411.601624,1460207706.2571,3207152622.5785475,23.9,72.0,21.8,1331046668.387259,2009167394.8885112,910500000.0
B1,19,G0,3256514764.708121,1743400159.5173144,2301391827.9731245,6106538330.513687,71.2,94.19999999999999,26.5,2151956959.627966,3730833296.996774,1180500000.0
SPY,14,G0,1785273848.5307965,1210471656.4100418,1452258713.6116736,2731014260.741512,16.0,71.0,21.8,1474556995.2336893,1877673038.6050491,910500000.0
SPY,19,G0,3043475131.225793,1892925139.2024422,2350640050.031061,4994812760.04984,68.4,96.6,26.5,2358832699.426826,3293302848.1221237,1180500000.0
QQQ,14,G0,1998466250.4196272,1025186137.3425235,1380755341.895397,4031648326.2865763,33.0,70.1,21.8,1210085270.844649,2213396414.395447,910500000.0
QQQ,19,G0,3513988600.6450233,1482200055.8724773,2224692856.298307,8502871512.682381,69.3,89.2,26.5,1945624411.5296934,4302853331.171051,1180500000.0
