key,보유년,가정인플레,실질중앙값,하위10,하위25,상위10,P_25억이상,P_15억이상
P3,14,0.02,1751934596.079574,1074403941.6965063,1347822844.7063215,3048949688.266335,20.1,64.7
P3,14,0.03,1595183473.5859747,989015932.3133489,1237221723.4154584,2759293051.8633733,13.700000000000001,57.199999999999996
P3,19,0.02,2980486148.3548617,1580549297.8463738,2124772783.7822173,5728527379.881104,62.9,92.0
P3,19,0.03,2623225811.5735064,1396209193.0223744,1877672644.1861,4953126471.794168,52.7,87.1
A80,14,0.02,1659074099.4882832,1091577382.0792944,1330928613.1375017,2623980186.601143,12.5,61.9
A80,14,0.03,1511636868.5764503,1001680041.6919028,1218839497.85411,2376274267.2422767,8.1,50.7
A80,19,0.02,2758187682.8951507,1617020354.579679,2065768207.6193728,4717122056.25968,58.199999999999996,92.9
A80,19,0.03,2430512228.869321,1445183466.659314,1829696893.7714813,4122703459.946128,47.5,87.8
C100,14,0.02,1474412279.8182764,1093397326.5451915,1265547847.5938559,2026554425.7772465,1.0999999999999999,46.5
C100,14,0.03,1347469128.9763536,1004104538.6739752,1160947295.8549001,1840156428.430394,0.3,30.7
C100,19,0.02,2314545454.391508,1617845437.7787485,1911131545.9687269,3340176132.4100175,39.1,94.3
C100,19,0.03,2047923755.5056925,1443166862.074037,1699842981.6163392,2933216647.163248,23.7,87.4
B-opt,14,0.02,1527806998.032823,1001526544.6697093,1220348413.8232641,2395365438.3659444,8.4,51.9
B-opt,14,0.03,1394867617.0755715,921847685.1338441,1117951815.2166123,2170682417.897654,4.9,40.699999999999996
B-opt,19,0.02,2431550636.4599056,1424555225.3765497,1819042506.6512315,4142335202.8281674,48.199999999999996,87.7
B-opt,19,0.03,2146101185.536664,1281725858.7056684,1615337810.717914,3635597197.75846,36.199999999999996,80.4
B1,14,0.02,1549583643.0623617,963775361.2361513,1225073763.3594723,2599832248.6585145,11.200000000000001,54.0
B1,14,0.03,1415252263.6910484,888275515.4767733,1125392453.3240492,2349640146.4518385,7.000000000000001,42.9
B1,19,0.02,2518613219.790618,1379068652.4175785,1808314499.71634,4578595717.174246,50.4,85.7
B1,19,0.03,2224744764.57429,1234484023.4018846,1602928693.504815,3992370763.135593,40.0,79.2
SPY,14,0.02,1484304095.8012276,1018309834.8740456,1213738467.9012733,2239498061.085371,4.8,48.6
SPY,14,0.03,1354414080.281418,933182230.5359292,1112075188.2825272,2035768627.0588899,2.6,36.6
SPY,19,0.02,2345784087.741106,1490418160.5521593,1823890985.498733,3768453762.334373,42.8,89.5
SPY,19,0.03,2075970092.9507442,1330716076.5719342,1620405026.1952097,3294974370.345506,30.4,82.1
QQQ,14,0.02,1659525963.5572238,870290508.8485037,1159218815.8501596,3268479178.5874143,21.099999999999998,57.699999999999996
QQQ,14,0.03,1517067905.188192,801265740.3393235,1069470161.1939366,2951753738.9522943,16.1,50.8
QQQ,19,0.02,2724090865.904203,1176134113.5461292,1747986139.7226043,6367326718.244782,55.7,81.0
QQQ,19,0.03,2403350253.608287,1058107936.5585637,1548573080.1662316,5533741695.15962,47.4,76.2
