최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,TQQQ연말최대매수_일자,S1_청산일,S2_동결,key,구간,배분,과세기준
4300237546.222391,1230000000.0,848807828.7352891,1230000.0,0.10054072766121021,-0.3610770227059361,-0.6899881325623716,1822,167053823.2637671,2015-07-17,1373293932.3102562,841420583.3825653,100045065.48790699,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,P3,2000-01~2019-12,M1,원화
4318285905.043864,1230000000.0,832344665.5368109,1230000.0,0.10085405793958059,-0.3610770227059361,-0.6899881325623716,1822,167053823.2637671,2015-07-17,1374775161.4315937,842319841.4488202,99956808.751508,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,P3,2000-01~2019-12,M1,USD
4411197936.752223,1230000000.0,870563168.543092,1230000.0,0.10244519323427667,-0.3364521881767383,-0.6016314906101222,1562,144450676.37971172,2015-07-14,1465041534.7156641,885842221.716006,103897325.20277444,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,P3,2000-01~2019-12,M2,원화
4420650746.573125,1230000000.0,854002425.6738546,1230000.0,0.10260506139046575,-0.3364521881767383,-0.6016314906101222,1562,144450676.37971172,2015-07-14,1463609796.520799,884771488.5101557,103593134.58493719,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,P3,2000-01~2019-12,M2,USD
3804819676.9898086,1230000000.0,714222198.0478096,1230000.0,0.09134055447259361,-0.3324951074232583,-0.6053778720141922,1767,146849226.13259435,2016-11-10,1004821713.2074568,598880213.0200982,60892992.23416491,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,A80,2000-01~2019-12,M1,원화
3822073680.2415485,1230000000.0,699982741.5412793,1230000.0,0.09168218928946323,-0.3324951074232583,-0.6053778720141922,1767,146849226.13259435,2016-11-10,1006067295.5567193,599714691.595216,60892077.74499507,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,A80,2000-01~2019-12,M1,USD
3874813377.698756,1230000000.0,724633494.3609574,1230000.0,0.09271621404060987,-0.3024399593989714,-0.5214511523564197,1491,127017188.40992716,2016-11-09,1044453867.7527711,621778102.0066155,65860410.78774378,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,A80,2000-01~2019-12,M2,원화
3884895799.770037,1230000000.0,710535783.8987057,1230000.0,0.09291216132726451,-0.3024399593989714,-0.5214511523564197,1491,127017188.40992716,2016-11-09,1043762771.7875642,621265636.2444484,65723418.48130501,-0.9774556918274715,2019-01-02,해당 없음,해당 없음,A80,2000-01~2019-12,M2,USD
2920816915.5705175,1230000000.0,475476390.41087264,1230000.0,0.07113685676640015,-0.28293712760882594,-0.36954670043377313,425,88726207.40053394,2017-10-02,80121872.22860596,46040238.268145174,0.0,,,해당 없음,해당 없음,C100,2000-01~2019-12,M1,원화
2933925023.9724283,1230000000.0,467345622.9884791,1230000.0,0.071483316932177,-0.28293712760882594,-0.36954670043377313,425,88726207.40053394,2017-09-28,80121872.22860596,46040238.268145174,0.0,,,해당 없음,해당 없음,C100,2000-01~2019-12,M1,USD
2924584832.716226,1230000000.0,470254731.09231734,1230000.0,0.07123662215203286,-0.2791789642734379,-0.36428130136354975,425,87382317.76146325,2017-10-02,347747527.6778969,158569400.10539782,0.0,,,해당 없음,해당 없음,C100,2000-01~2019-12,M2,원화
2934462841.556047,1230000000.0,460212409.9527223,1230000.0,0.07149749544187467,-0.2791789642734379,-0.36428130136354975,425,87382317.76146325,2017-10-02,347686394.7546149,158533049.18620735,0.0,,,해당 없음,해당 없음,C100,2000-01~2019-12,M2,USD
3354673139.760069,1230000000.0,594065956.5337994,1230000.0,0.08178065408492258,-0.3652001096353624,-0.5788481703353977,1586,143711700.29326186,2017-03-01,125103866.27683711,60540826.45366291,0.0,,,해당 없음,해당 없음,B-opt,2000-01~2019-12,M1,원화
3363950987.8960557,1230000000.0,584423157.066794,1230000.0,0.08199148080801498,-0.3652001096353624,-0.5788481703353977,1586,143711700.29326186,2017-03-01,125087136.12199889,60530055.015660934,0.0,,,해당 없음,해당 없음,B-opt,2000-01~2019-12,M1,USD
3352184113.7629633,1230000000.0,592075339.5482892,1230000.0,0.08172398598835105,-0.3648137107226065,-0.5770903270716393,1581,143449186.72887158,2017-03-01,280322142.45271444,100142964.52476539,0.0,,,해당 없음,해당 없음,B-opt,2000-01~2019-12,M2,원화
3361924914.506213,1230000000.0,582131668.8928555,1230000.0,0.08194549520886128,-0.3648137107226065,-0.5770903270716393,1581,143449186.72887158,2017-03-01,280318550.7147912,100140832.42385516,0.0,,,해당 없음,해당 없음,B-opt,2000-01~2019-12,M2,USD
3586792565.910372,1230000000.0,658847215.6091399,1230000.0,0.08687316928762856,-0.37768057328890503,-0.65486836666568,1762,160798088.37711748,2016-12-13,123488134.84885381,63941187.32351885,0.0,,,해당 없음,해당 없음,B1,2000-01~2019-12,M1,원화
3596051183.5026226,1230000000.0,649342002.1801608,1230000.0,0.08706879954298247,-0.37768057328890503,-0.65486836666568,1762,160798088.37711748,2016-12-13,123479153.89708085,63935877.30098748,0.0,,,해당 없음,해당 없음,B1,2000-01~2019-12,M1,USD
3582468661.662277,1230000000.0,656073751.7020772,1230000.0,0.086781619303537,-0.3765546236834003,-0.6532702398851173,1772,159811068.92452958,2016-12-15,347176056.36224365,129344743.81624183,0.0,,,해당 없음,해당 없음,B1,2000-01~2019-12,M2,원화
3592202560.8894587,1230000000.0,646079727.5027422,1230000.0,0.08698754643772426,-0.3765546236834003,-0.6532702398851173,1772,159811068.92452958,2016-12-15,347169473.1548484,129340760.8673688,0.0,,,해당 없음,해당 없음,B1,2000-01~2019-12,M2,USD
3040895637.820574,1230000000.0,510407231.1801619,1230000.0,0.07424835679787334,-0.3515497187933513,-0.45617565717008945,1348,116545166.633185,2017-09-26,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2000-01~2019-12,M1,원화
3050273760.3916106,1230000000.0,501029108.6091249,1230000.0,0.07448564108250318,-0.3515497187933513,-0.45617565717008945,1348,116545166.633185,2017-09-26,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2000-01~2019-12,M1,USD
3040895637.820574,1230000000.0,510407231.1801619,1230000.0,0.07424835679787334,-0.3515497187933513,-0.45617565717008945,1348,116545166.633185,2017-09-26,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2000-01~2019-12,M2,원화
3050273760.3916106,1230000000.0,501029108.6091249,1230000.0,0.07448564108250318,-0.3515497187933513,-0.45617565717008945,1348,116545166.633185,2017-09-26,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2000-01~2019-12,M2,USD
4305885894.924622,1230000000.0,867199354.9787397,1230000.0,0.10063893755156568,-0.5278873265367587,-0.8094441877231795,1927,198752547.08737236,2015-11-09,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2000-01~2019-12,M1,원화
4315264017.495659,1230000000.0,857821232.4077026,1230000.0,0.10080169403432128,-0.5278873265367587,-0.8094441877231795,1927,198752547.08737236,2015-11-09,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2000-01~2019-12,M1,USD
4305885894.924622,1230000000.0,867199354.9787397,1230000.0,0.10063893755156568,-0.5278873265367587,-0.8094441877231795,1927,198752547.08737236,2015-11-09,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2000-01~2019-12,M2,원화
4315264017.495659,1230000000.0,857821232.4077026,1230000.0,0.10080169403432128,-0.5278873265367587,-0.8094441877231795,1927,198752547.08737236,2015-11-09,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2000-01~2019-12,M2,USD
15518315382.092451,1594500000.0,3741954383.3904543,1594500.0,0.13136089275800586,-0.3610770227059361,-0.6899881325623716,1822,167053823.2637671,2015-07-17,7901673790.411457,5852343311.6293125,902135271.9053345,-0.95921089100594,2023-01-03,해당 없음,해당 없음,P3,2000-01~2026-09,M1,원화
15598481296.879677,1594500000.0,3643531475.152714,1594500.0,0.13163168750463042,-0.3610770227059361,-0.6899881325623716,1822,167053823.2637671,2015-07-17,7893203113.757359,5846039511.837394,900170471.5698922,-0.95921089100594,2023-01-03,해당 없음,해당 없음,P3,2000-01~2026-09,M1,USD
15932582479.971771,1594500000.0,3848461411.323618,1594500.0,0.1327449827189513,-0.3364521881767383,-0.6016314906101222,1562,144450676.37971172,2015-07-14,8068097449.27888,5907315762.740967,957836288.2603139,-0.95921089100594,2023-01-03,해당 없음,해당 없음,P3,2000-01~2026-09,M2,원화
15983935368.889833,1594500000.0,3741802765.1230936,1594500.0,0.13291396092402283,-0.3364521881767383,-0.6016314906101222,1562,144450676.37971172,2015-07-14,8043868716.74598,5889142623.443304,953897058.750129,-0.95921089100594,2023-01-03,해당 없음,해당 없음,P3,2000-01~2026-09,M2,USD
12614462523.863735,1594500000.0,2989576711.5363317,1594500.0,0.12043060785921829,-0.3324951074232583,-0.6053778720141922,1767,146849226.13259435,2016-11-10,5301640132.434439,3901343766.348736,530797804.26745325,-0.95921089100594,2023-01-03,해당 없음,해당 없음,A80,2000-01~2026-09,M1,원화
