G,key,구분,최종자산_명목,XIRR_명목,원금하회_최장거래일,하위10,최소,P_25억이상,P_15억이상,순위_최종자산
G0,P3,고정구간 2000-01~2019-12,4300237546.222391,0.10054072766121021,1822.0,,,,,2.0
G0,P3,고정구간 2000-01~2026-09,15518315382.092451,0.13136089275800586,1822.0,,,,,2.0
G0,P3,고정구간 2020-01~2026-09,1121787374.5098684,0.1790418590575619,51.0,,,,,2.0
G0,A80,고정구간 2000-01~2019-12,3804819676.9898086,0.09134055447259361,1767.0,,,,,3.0
G0,A80,고정구간 2000-01~2026-09,12614462523.863735,0.12043060785921829,1767.0,,,,,3.0
G0,A80,고정구간 2020-01~2026-09,1050860649.422726,0.16392731738327043,46.0,,,,,3.0
G0,C100,고정구간 2000-01~2019-12,2920816915.5705175,0.07113685676640015,425.0,,,,,7.0
G0,C100,고정구간 2000-01~2026-09,7897148894.249463,0.09532834812560816,425.0,,,,,7.0
G0,C100,고정구간 2020-01~2026-09,906990520.8603848,0.12999352346823553,51.0,,,,,7.0
G0,B-opt,고정구간 2000-01~2019-12,3354673139.760069,0.08178065408492258,1586.0,,,,,5.0
G0,B-opt,고정구간 2000-01~2026-09,10705186229.704025,0.11170478588767581,1586.0,,,,,5.0
G0,B-opt,고정구간 2020-01~2026-09,1012094783.6003442,0.15524746406724926,56.0,,,,,5.0
G0,B1,고정구간 2000-01~2019-12,3586792565.910372,0.08687316928762856,1762.0,,,,,4.0
G0,B1,고정구간 2000-01~2026-09,12095554696.170935,0.11820340555075817,1762.0,,,,,4.0
G0,B1,고정구간 2020-01~2026-09,1044190787.110047,0.16245605104101965,38.0,,,,,4.0
G0,SPY,고정구간 2000-01~2019-12,3040895637.820574,0.07424835679787334,1348.0,,,,,6.0
G0,SPY,고정구간 2000-01~2026-09,9005897503.067122,0.10243628577059358,1348.0,,,,,6.0
G0,SPY,고정구간 2020-01~2026-09,971615196.6058024,0.1458354149926937,62.0,,,,,6.0
G0,QQQ,고정구간 2000-01~2019-12,4305885894.924622,0.10063893755156568,1927.0,,,,,1.0
G0,QQQ,고정구간 2000-01~2026-09,16960548052.062326,0.13602508575870495,1927.0,,,,,1.0
G0,QQQ,고정구간 2020-01~2026-09,1153757845.5690684,0.1855583414711218,27.0,,,,,1.0
G1,P3,고정구간 2000-01~2019-12,4082342197.0131083,0.09664266810662973,1874.0,,,,,2.0
G1,P3,고정구간 2000-01~2026-09,14378071536.074087,0.12734441888622644,1874.0,,,,,2.0
G1,P3,고정구간 2020-01~2026-09,1098157872.8086095,0.17411055748442475,51.0,,,,,2.0
G1,A80,고정구간 2000-01~2019-12,3588434765.07145,0.0869079081587722,1793.0,,,,,3.0
G1,A80,고정구간 2000-01~2026-09,11483670967.520338,0.11544523577786828,1793.0,,,,,4.0
G1,A80,고정구간 2020-01~2026-09,1026761481.9703022,0.15856839109160512,46.0,,,,,4.0
G1,C100,고정구간 2000-01~2019-12,2716298525.0481615,0.0654968121190146,443.0,,,,,7.0
G1,C100,고정구간 2000-01~2026-09,7064049742.784522,0.0892475881875485,443.0,,,,,7.0
G1,C100,고정구간 2020-01~2026-09,878395187.5511072,0.12263092349724049,51.0,,,,,7.0
G2,P3,고정구간 2000-01~2019-12,4051825430.845132,0.09607894734462824,1875.0,,,,,2.0
G2,P3,고정구간 2000-01~2026-09,14214632008.55518,0.12674179928463927,1875.0,,,,,2.0
G2,P3,고정구간 2020-01~2026-09,1092091338.184757,0.17282815652440275,51.0,,,,,2.0
G2,A80,고정구간 2000-01~2019-12,3558393999.6465154,0.08626968250158198,1821.0,,,,,4.0
G2,A80,고정구간 2000-01~2026-09,11334290103.115017,0.11474851501510393,1821.0,,,,,4.0
G2,A80,고정구간 2020-01~2026-09,1020505280.0678955,0.1571574395385597,46.0,,,,,4.0
G2,C100,고정구간 2000-01~2019-12,2687315582.2983546,0.06465952816143933,444.0,,,,,7.0
G2,C100,고정구간 2000-01~2026-09,6920101650.839055,0.08811924810421433,444.0,,,,,7.0
G2,C100,고정구간 2020-01~2026-09,874685863.1596752,0.1216588084023244,51.0,,,,,7.0
G3,P3,고정구간 2000-01~2019-12,4129596317.795176,0.0975066913945347,1825.0,,,,,2.0
G3,P3,고정구간 2000-01~2026-09,14637861855.552906,0.12828783159368898,1825.0,,,,,2.0
G3,P3,고정구간 2020-01~2026-09,1103544864.128712,0.17524364421481983,51.0,,,,,2.0
G3,A80,고정구간 2000-01~2019-12,3634598602.916322,0.08787745341753973,1784.0,,,,,3.0
G3,A80,고정구간 2000-01~2026-09,11718484052.934559,0.11652146816892882,1784.0,,,,,4.0
G3,A80,고정구간 2020-01~2026-09,1032242090.0242271,0.15979764849963934,46.0,,,,,4.0
G3,C100,고정구간 2000-01~2019-12,2760259816.260729,0.06674802100797977,439.0,,,,,7.0
G3,C100,고정구간 2000-01~2026-09,7273387822.635092,0.09084515693770989,439.0,,,,,7.0
G3,C100,고정구간 2020-01~2026-09,887024775.3119837,0.12487711891922394,51.0,,,,,7.0
G1,B-opt,고정구간 2000-01~2019-12,3354673139.760069,0.08178065408492258,1586.0,,,,,5.0
