G,key,구간,CAGR_세후,Sharpe_세후,Sharpe,MDD,최장회복_거래일,최종자산_세후,순위_Sharpe세후,순위_CAGR세후,순위_MDD
G0,P3,A,0.06959449000319529,0.348202968584914,0.3846943417798031,-0.6189851356158812,2711,38263.92989305824,2.0,1.0,5.0
G0,P3,B,0.17247838959868478,0.6851988140043294,0.7707115036819483,-0.32940650959155904,368,28930.89063661044,1.0,1.0,5.0
G0,P3,C,0.09704089832040674,0.4496390985793361,0.4911235829192041,-0.6189851356158812,2711,117862.68961467326,2.0,1.0,5.0
G0,A80,A,0.06655259419811244,0.3513774880240997,0.3909440134790671,-0.5440896552839032,1885,36149.395765550966,1.0,2.0,2.0
G0,A80,B,0.15440434951427262,0.666083982650999,0.7589441330206421,-0.3085411707786099,385,26078.068835245387,2.0,3.0,3.0
G0,A80,C,0.09079336159505269,0.4497046371910905,0.49215556992773474,-0.5440896552839032,1885,101223.96923583945,1.0,2.0,2.0
G0,C100,A,0.056423031673994206,0.3350872059408692,0.3854906953832022,-0.42873869238585416,1420,29879.766162882373,3.0,3.0,1.0
G0,C100,B,0.11318264583226134,0.5716490370599183,0.6887906695578937,-0.2650509867172298,488,20452.57152719211,6.0,7.0,1.0
G0,C100,C,0.07302634382629303,0.41323524306393433,0.46754413658679894,-0.42873869238585416,1420,65348.48025924714,3.0,6.0,1.0
G0,B-opt,A,0.04839877566476636,0.25144559837081787,0.2859566490439002,-0.614877074408315,3227,25661.467024304948,5.0,5.0,4.0
G0,B-opt,B,0.14093715210015745,0.5943126535516021,0.6953583365326307,-0.317870236882971,491,24111.245965649996,5.0,5.0,4.0
G0,B-opt,C,0.07430449509613601,0.35422234752880205,0.39090916983330676,-0.614877074408315,3227,67454.68621266432,4.0,5.0,4.0
G0,B1,A,0.04684199919302556,0.2420902068893288,0.2734742632478666,-0.6895830959448848,3356,24911.49272926351,6.0,6.0,6.0
G0,B1,B,0.1503563411268456,0.6219184028626945,0.7236558805533663,-0.30562246231168777,490,25473.04061336149,4.0,4.0,2.0
G0,B1,C,0.07546821951993987,0.35109837670736443,0.3851427998167676,-0.6895830959448848,3356,69429.03927897288,5.0,4.0,6.0
G0,SPY,A,0.04972735206526924,0.2619816374273099,0.2999105128704443,-0.5542179376787053,1682,26318.420560249822,4.0,4.0,3.0
G0,SPY,B,0.12645317324641092,0.5391186786105507,0.639297155303416,-0.33737498940996,488,22138.13600711137,7.0,6.0,6.0
G0,SPY,C,0.07121558548938589,0.34817921142371666,0.3905765783180306,-0.5542179376787053,1682,62472.6603754516,6.0,7.0,3.0
G0,QQQ,A,0.040895670657892014,0.22214041695057787,0.24385723805754392,-0.8296413105860335,3791,22234.08207927515,7.0,7.0,7.0
G0,QQQ,B,0.1718250135949262,0.6356719892773206,0.7369792944488529,-0.3517822059268173,517,28823.324862563553,3.0,2.0,7.0
G0,QQQ,C,0.07554963825425176,0.33133757129169245,0.3610668684202451,-0.8296413105860335,3791,69569.23510012208,7.0,3.0,7.0
G1,P3,A,0.06559172862512619,0.32928565087722794,0.3639895982554605,-0.6246867876485387,2740,35504.86476078542,1.0,1.0,5.0
G1,P3,B,0.16810671372823482,0.6682754120223814,0.7507866460133762,-0.32993142171410805,368,28217.63040001803,1.0,2.0,5.0
G1,P3,C,0.09277725605350495,0.43042086060786183,0.47015061365723576,-0.6246867876485387,2740,106245.85723481039,1.0,1.0,5.0
G1,A80,A,0.06211723002952163,0.327644577544805,0.36438965036773907,-0.5514589393838074,1908,33264.14893479777,2.0,2.0,2.0
G1,A80,B,0.14950336585639246,0.6447217804459459,0.733156658420881,-0.30913642325434476,386,25347.086741672683,2.0,4.0,3.0
G1,A80,C,0.08601360750933806,0.42537404659078504,0.4652462132751611,-0.5514589393838074,1908,90045.50180723221,2.0,2.0,2.0
